"TIME","GEO","CITIZEN","AGE","SEX","Value"
"2002","Lithuania","Iraq","Total","Total",":"
"2002","Lithuania","Syria","Total","Total",":"
"2002","Luxembourg","Reporting country","Total","Total","227,300"
"2002","Luxembourg","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Luxembourg","Turkey","Total","Total",":"
"2002","Luxembourg","Serbia","Total","Total",":"
"2002","Luxembourg","Russia","Total","Total",":"
"2002","Luxembourg","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Luxembourg","Eritrea","Total","Total",":"
"2002","Luxembourg","Somalia","Total","Total",":"
"2002","Luxembourg","Congo","Total","Total",":"
"2002","Luxembourg","Guinea","Total","Total",":"
"2002","Luxembourg","Nigeria","Total","Total",":"
"2002","Luxembourg","China (including Hong Kong)","Total","Total",":"
"2002","Luxembourg","Afghanistan","Total","Total",":"
"2002","Luxembourg","Bangladesh","Total","Total",":"
"2002","Luxembourg","Iran","Total","Total",":"
"2002","Luxembourg","Pakistan","Total","Total",":"
"2002","Luxembourg","Armenia","Total","Total",":"
"2002","Luxembourg","Georgia","Total","Total",":"
"2002","Luxembourg","Iraq","Total","Total",":"
"2002","Luxembourg","Syria","Total","Total",":"
"2002","Hungary","Reporting country","Total","Total","10,058,424"
"2002","Hungary","Former Yugoslav Republic of Macedonia, the","Total","Total","39"
"2002","Hungary","Turkey","Total","Total","544"
"2002","Hungary","Serbia","Total","Total",":"
"2002","Hungary","Russia","Total","Total","2,048"
"2002","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Hungary","Eritrea","Total","Total","0"
"2002","Hungary","Somalia","Total","Total","3"
"2002","Hungary","Congo","Total","Total","17"
"2002","Hungary","Guinea","Total","Total","14"
"2002","Hungary","Nigeria","Total","Total","182"
"2002","Hungary","China (including Hong Kong)","Total","Total",":"
"2002","Hungary","Afghanistan","Total","Total","88"
"2002","Hungary","Bangladesh","Total","Total","24"
"2002","Hungary","Iran","Total","Total","407"
"2002","Hungary","Pakistan","Total","Total","46"
"2002","Hungary","Armenia","Total","Total","64"
"2002","Hungary","Georgia","Total","Total","65"
"2002","Hungary","Iraq","Total","Total","198"
"2002","Hungary","Syria","Total","Total","624"
"2002","Malta","Reporting country","Total","Total","385,077"
"2002","Malta","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Malta","Turkey","Total","Total",":"
"2002","Malta","Serbia","Total","Total",":"
"2002","Malta","Russia","Total","Total",":"
"2002","Malta","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Malta","Eritrea","Total","Total",":"
"2002","Malta","Somalia","Total","Total",":"
"2002","Malta","Congo","Total","Total",":"
"2002","Malta","Guinea","Total","Total",":"
"2002","Malta","Nigeria","Total","Total",":"
"2002","Malta","China (including Hong Kong)","Total","Total",":"
"2002","Malta","Afghanistan","Total","Total",":"
"2002","Malta","Bangladesh","Total","Total",":"
"2002","Malta","Iran","Total","Total",":"
"2002","Malta","Pakistan","Total","Total",":"
"2002","Malta","Armenia","Total","Total",":"
"2002","Malta","Georgia","Total","Total",":"
"2002","Malta","Iraq","Total","Total",":"
"2002","Malta","Syria","Total","Total",":"
"2002","Netherlands","Reporting country","Total","Total","15,414,892"
"2002","Netherlands","Former Yugoslav Republic of Macedonia, the","Total","Total","646"
"2002","Netherlands","Turkey","Total","Total","100,309"
"2002","Netherlands","Serbia","Total","Total",":"
"2002","Netherlands","Russia","Total","Total","3,998"
"2002","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Netherlands","Eritrea","Total","Total","214"
"2002","Netherlands","Somalia","Total","Total","2,654"
"2002","Netherlands","Congo","Total","Total","270"
"2002","Netherlands","Guinea","Total","Total","242"
"2002","Netherlands","Nigeria","Total","Total","1,980"
"2002","Netherlands","China (including Hong Kong)","Total","Total",":"
"2002","Netherlands","Afghanistan","Total","Total","4,259"
"2002","Netherlands","Bangladesh","Total","Total","354"
"2002","Netherlands","Iran","Total","Total","2,520"
"2002","Netherlands","Pakistan","Total","Total","2,737"
"2002","Netherlands","Armenia","Total","Total","364"
"2002","Netherlands","Georgia","Total","Total","343"
"2002","Netherlands","Iraq","Total","Total","6,919"
"2002","Netherlands","Syria","Total","Total","628"
"2002","Austria","Reporting country","Total","Total","7,333,379"
"2002","Austria","Former Yugoslav Republic of Macedonia, the","Total","Total","13,202"
"2002","Austria","Turkey","Total","Total","127,147"
"2002","Austria","Serbia","Total","Total",":"
"2002","Austria","Russia","Total","Total","3,675"
"2002","Austria","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Austria","Eritrea","Total","Total","10"
"2002","Austria","Somalia","Total","Total","104"
"2002","Austria","Congo","Total","Total","260"
"2002","Austria","Guinea","Total","Total","81"
"2002","Austria","Nigeria","Total","Total","2,746"
"2002","Austria","China (including Hong Kong)","Total","Total","5,122"
"2002","Austria","Afghanistan","Total","Total","2,065"
"2002","Austria","Bangladesh","Total","Total","1,275"
"2002","Austria","Iran","Total","Total","5,643"
"2002","Austria","Pakistan","Total","Total","1,749"
"2002","Austria","Armenia","Total","Total","612"
"2002","Austria","Georgia","Total","Total","340"
"2002","Austria","Iraq","Total","Total","1,319"
"2002","Austria","Syria","Total","Total","633"
"2002","Poland","Reporting country","Total","Total","38,188,705"
"2002","Poland","Former Yugoslav Republic of Macedonia, the","Total","Total","88"
"2002","Poland","Turkey","Total","Total","180"
"2002","Poland","Serbia","Total","Total",":"
"2002","Poland","Russia","Total","Total","3,164"
"2002","Poland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Poland","Eritrea","Total","Total","0"
"2002","Poland","Somalia","Total","Total","7"
"2002","Poland","Congo","Total","Total","19"
"2002","Poland","Guinea","Total","Total","7"
"2002","Poland","Nigeria","Total","Total","78"
"2002","Poland","China (including Hong Kong)","Total","Total","179"
"2002","Poland","Afghanistan","Total","Total","31"
"2002","Poland","Bangladesh","Total","Total","18"
"2002","Poland","Iran","Total","Total","44"
"2002","Poland","Pakistan","Total","Total","22"
"2002","Poland","Armenia","Total","Total","723"
"2002","Poland","Georgia","Total","Total","101"
"2002","Poland","Iraq","Total","Total","85"
"2002","Poland","Syria","Total","Total","203"
"2002","Portugal","Reporting country","Total","Total","10,110,627"
"2002","Portugal","Former Yugoslav Republic of Macedonia, the","Total","Total","24"
"2002","Portugal","Turkey","Total","Total","101"
"2002","Portugal","Serbia","Total","Total",":"
"2002","Portugal","Russia","Total","Total","906"
"2002","Portugal","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Portugal","Eritrea","Total","Total","0"
"2002","Portugal","Somalia","Total","Total","1"
"2002","Portugal","Congo","Total","Total","102"
"2002","Portugal","Guinea","Total","Total","740"
"2002","Portugal","Nigeria","Total","Total","96"
"2002","Portugal","China (including Hong Kong)","Total","Total",":"
"2002","Portugal","Afghanistan","Total","Total","3"
"2002","Portugal","Bangladesh","Total","Total","254"
"2002","Portugal","Iran","Total","Total","592"
"2002","Portugal","Pakistan","Total","Total","1,039"
"2002","Portugal","Armenia","Total","Total","20"
"2002","Portugal","Georgia","Total","Total","3"
"2002","Portugal","Iraq","Total","Total","154"
"2002","Portugal","Syria","Total","Total","78"
"2002","Romania","Reporting country","Total","Total","21,655,329"
"2002","Romania","Former Yugoslav Republic of Macedonia, the","Total","Total","120"
"2002","Romania","Turkey","Total","Total","2,173"
"2002","Romania","Serbia","Total","Total",":"
"2002","Romania","Russia","Total","Total","176"
"2002","Romania","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Romania","Eritrea","Total","Total",":"
"2002","Romania","Somalia","Total","Total",":"
"2002","Romania","Congo","Total","Total",":"
"2002","Romania","Guinea","Total","Total",":"
"2002","Romania","Nigeria","Total","Total",":"
"2002","Romania","China (including Hong Kong)","Total","Total","1,897"
"2002","Romania","Afghanistan","Total","Total",":"
"2002","Romania","Bangladesh","Total","Total",":"
"2002","Romania","Iran","Total","Total","652"
"2002","Romania","Pakistan","Total","Total",":"
"2002","Romania","Armenia","Total","Total",":"
"2002","Romania","Georgia","Total","Total",":"
"2002","Romania","Iraq","Total","Total","741"
"2002","Romania","Syria","Total","Total","1,181"
"2002","Slovenia","Reporting country","Total","Total","1,948,753"
"2002","Slovenia","Former Yugoslav Republic of Macedonia, the","Total","Total","4,323"
"2002","Slovenia","Turkey","Total","Total","12"
"2002","Slovenia","Serbia","Total","Total",":"
"2002","Slovenia","Russia","Total","Total","396"
"2002","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Slovenia","Eritrea","Total","Total","0"
"2002","Slovenia","Somalia","Total","Total","1"
"2002","Slovenia","Congo","Total","Total","1"
"2002","Slovenia","Guinea","Total","Total","0"
"2002","Slovenia","Nigeria","Total","Total","7"
"2002","Slovenia","China (including Hong Kong)","Total","Total","314"
"2002","Slovenia","Afghanistan","Total","Total","0"
"2002","Slovenia","Bangladesh","Total","Total","0"
"2002","Slovenia","Iran","Total","Total","17"
"2002","Slovenia","Pakistan","Total","Total","2"
"2002","Slovenia","Armenia","Total","Total","1"
"2002","Slovenia","Georgia","Total","Total","7"
"2002","Slovenia","Iraq","Total","Total","3"
"2002","Slovenia","Syria","Total","Total","2"
"2002","Slovakia","Reporting country","Total","Total",":"
"2002","Slovakia","Former Yugoslav Republic of Macedonia, the","Total","Total",":"
"2002","Slovakia","Turkey","Total","Total",":"
"2002","Slovakia","Serbia","Total","Total",":"
"2002","Slovakia","Russia","Total","Total",":"
"2002","Slovakia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Slovakia","Eritrea","Total","Total",":"
"2002","Slovakia","Somalia","Total","Total",":"
"2002","Slovakia","Congo","Total","Total",":"
"2002","Slovakia","Guinea","Total","Total",":"
"2002","Slovakia","Nigeria","Total","Total",":"
"2002","Slovakia","China (including Hong Kong)","Total","Total",":"
"2002","Slovakia","Afghanistan","Total","Total",":"
"2002","Slovakia","Bangladesh","Total","Total",":"
"2002","Slovakia","Iran","Total","Total",":"
"2002","Slovakia","Pakistan","Total","Total",":"
"2002","Slovakia","Armenia","Total","Total",":"
"2002","Slovakia","Georgia","Total","Total",":"
"2002","Slovakia","Iraq","Total","Total",":"
"2002","Slovakia","Syria","Total","Total",":"
"2002","Finland","Reporting country","Total","Total","5,096,324"
"2002","Finland","Former Yugoslav Republic of Macedonia, the","Total","Total","150"
"2002","Finland","Turkey","Total","Total","1,981"
"2002","Finland","Serbia","Total","Total",":"
"2002","Finland","Russia","Total","Total","24,973"
"2002","Finland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Finland","Eritrea","Total","Total","21"
"2002","Finland","Somalia","Total","Total","4,355"
"2002","Finland","Congo","Total","Total","11"
"2002","Finland","Guinea","Total","Total","4"
"2002","Finland","Nigeria","Total","Total","256"
"2002","Finland","China (including Hong Kong)","Total","Total",":"
"2002","Finland","Afghanistan","Total","Total","719"
"2002","Finland","Bangladesh","Total","Total","425"
"2002","Finland","Iran","Total","Total","2,166"
"2002","Finland","Pakistan","Total","Total","291"
"2002","Finland","Armenia","Total","Total","60"
"2002","Finland","Georgia","Total","Total","75"
"2002","Finland","Iraq","Total","Total","3,222"
"2002","Finland","Syria","Total","Total","101"
"2002","Sweden","Reporting country","Total","Total","8,433,142"
"2002","Sweden","Former Yugoslav Republic of Macedonia, the","Total","Total","1,715"
"2002","Sweden","Turkey","Total","Total","13,907"
"2002","Sweden","Serbia","Total","Total",":"
"2002","Sweden","Russia","Total","Total","5,925"
"2002","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
